Marca temporal,"¿En cuál de las imágenes comienzas a percibir el rostro de Abraham Lincoln? Es decir, ¿en cuál de las imágenes ya te es posible reconocer a Lincoln?"
14/12/2021 11:30:17,10
14/12/2021 11:30:19,8
14/12/2021 11:31:24,12
14/12/2021 11:33:08,8
14/12/2021 11:38:03,10
14/12/2021 11:38:14,14
14/12/2021 11:45:44,1
14/12/2021 11:47:37,9
14/12/2021 11:50:19,7
14/12/2021 11:53:00,14
14/12/2021 11:56:29,5
14/12/2021 11:57:36,9
14/12/2021 11:59:12,9
14/12/2021 11:59:54,7
14/12/2021 12:00:05,9
14/12/2021 12:00:32,7
14/12/2021 12:01:44,12
14/12/2021 12:01:56,1
14/12/2021 12:02:09,7
14/12/2021 12:05:45,16
14/12/2021 12:06:14,12
14/12/2021 12:06:56,9
14/12/2021 12:07:05,10
14/12/2021 12:09:51,5
14/12/2021 12:10:59,14
14/12/2021 12:14:48,16
14/12/2021 12:16:59,5
14/12/2021 12:17:13,10
14/12/2021 12:24:02,8
14/12/2021 12:24:12,1
14/12/2021 12:25:54,10
14/12/2021 12:37:39,6
14/12/2021 12:38:55,9
14/12/2021 12:45:50,11
14/12/2021 12:46:04,17
14/12/2021 12:47:37,17
14/12/2021 12:49:07,10
14/12/2021 12:49:35,5
14/12/2021 12:51:13,10
14/12/2021 12:51:16,1
14/12/2021 12:52:28,9
14/12/2021 12:59:32,9
14/12/2021 13:00:11,14
14/12/2021 13:04:11,6
14/12/2021 13:10:30,10
14/12/2021 13:21:27,9
14/12/2021 13:22:23,10
14/12/2021 13:26:27,10
14/12/2021 13:30:38,1
14/12/2021 13:34:31,10
14/12/2021 13:34:33,9
14/12/2021 13:40:24,3
14/12/2021 13:44:10,10
14/12/2021 13:52:21,10
14/12/2021 13:53:14,10
14/12/2021 13:58:29,13
14/12/2021 14:10:38,6
14/12/2021 14:12:51,1
14/12/2021 14:16:37,9
14/12/2021 14:21:48,4
14/12/2021 14:22:38,9
14/12/2021 14:23:48,9
14/12/2021 14:28:45,13
14/12/2021 14:29:59,8
14/12/2021 14:30:31,10
14/12/2021 14:31:35,1
14/12/2021 14:35:19,3
14/12/2021 14:41:34,12
14/12/2021 14:44:46,11
14/12/2021 14:45:42,10
14/12/2021 14:48:33,10
14/12/2021 14:48:50,2
14/12/2021 15:06:28,5
14/12/2021 15:30:05,10
14/12/2021 15:33:04,8
14/12/2021 15:33:43,12
14/12/2021 15:33:59,10
14/12/2021 15:34:07,10
14/12/2021 15:34:34,14
14/12/2021 15:34:39,15
14/12/2021 15:34:57,10
14/12/2021 15:35:45,5
14/12/2021 15:37:02,12
14/12/2021 15:37:16,9
14/12/2021 15:37:33,10
14/12/2021 15:42:35,17
14/12/2021 15:44:45,9
14/12/2021 15:45:17,10
14/12/2021 15:45:33,1
14/12/2021 15:45:33,6
14/12/2021 15:46:42,10
14/12/2021 15:47:45,11
14/12/2021 15:49:14,7
14/12/2021 16:01:23,13
14/12/2021 16:03:20,8
14/12/2021 16:04:21,11
14/12/2021 16:07:42,13
14/12/2021 16:09:59,10
14/12/2021 16:11:47,5
14/12/2021 16:15:17,6
14/12/2021 16:16:21,9
14/12/2021 16:22:55,5
14/12/2021 16:34:07,10
14/12/2021 16:48:13,12
14/12/2021 16:54:35,9
14/12/2021 17:00:26,3
14/12/2021 17:13:16,6
14/12/2021 17:44:50,9
14/12/2021 17:45:42,11
14/12/2021 17:49:46,17
14/12/2021 17:59:57,12
14/12/2021 18:31:09,9
14/12/2021 18:46:45,3
14/12/2021 19:04:52,9
14/12/2021 19:25:26,4
14/12/2021 20:07:15,15
14/12/2021 23:24:54,9
15/12/2021 0:43:20,8
15/12/2021 2:21:13,10
15/12/2021 3:16:00,17
15/12/2021 7:05:47,12
15/12/2021 10:15:55,1
15/12/2021 10:35:43,10
15/12/2021 16:36:25,9
15/12/2021 17:20:52,12
15/12/2021 18:22:24,6
15/12/2021 19:33:08,10
15/12/2021 20:41:08,5
16/12/2021 8:41:22,14
16/12/2021 16:53:48,10